r_index,0,1
-0.44,31.04784262,28.16518929
-0.35,27.96085768,33.729692
-0.26,24.4738325,30.99749371
-0.25,27.46375282,19.66343257
-0.14,28.16341685,22.84544384
-0.13,23.69829326,28.58047267
-0.11,24.7989973,21.74694471
-0.1,22.70678897,29.3129126
-0.09,27.0359068,33.59035353
-0.08,27.38535943,21.49992806
-0.07,24.63002843,26.27108794
-0.01,25.41489094,36.80882977
0,28.49367508,33.17896921
0.04,28.48020489,29.55431453
0.05,24.5061042,26.59309153
0.06,24.14779362,29.49665231
0.07,27.53122733,24.45663011
0.11,21.4373808,20.53535357
0.12,29.11930445,28.44033342
0.14,26.60219319,30.03385254
0.16,27.76755759,29.47153382
0.18,24.2881979,31.24666605
0.19,23.85221392,25.71358971
0.23,27.88330592,30.19410307
0.24,21.76882925,23.0937365
0.25,26.05805796,30.20578054
0.27,32.00454254,28.67404296
0.29,33.12956457,26.22140179
0.31,20.99737275,25.34626602
0.32,28.62215217,21.05393591
0.33,24.50541825,26.0560436
0.36,24.30118149,22.69115638
0.37,24.38773553,26.16966157
0.44,25.47803615,25.89540327
0.47,26.02267042,30.94572193
0.5,32.93764357,24.87936757
0.53,23.89652847,29.96918611
